id,Company_name,Recency,Frequency,Monetary,Segment
1,Company 1,4,2,4,Segment 3
2,Company 2,5,1,3,Segment 4
3,Company 3,5,2,3,Segment 3
4,Company 4,5,1,4,Segment 3
5,Company 5,4,1,1,Segment 5
6,Company 6,5,2,3,Segment 3
7,Company 7,4,1,3,Segment 5
8,Company 8,5,1,2,Segment 5
9,Company 9,5,1,4,Segment 3
10,Company 10,4,1,5,Segment 3
11,Company 11,5,2,5,Segment 1
12,Company 12,4,1,1,Segment 5
13,Company 13,0,0,0,No Segment
14,Company 14,5,1,1,Segment 5
15,Company 15,5,2,3,Segment 3
16,Company 16,4,1,4,Segment 4
17,Company 17,5,1,3,Segment 4
18,Company 18,5,2,5,Segment 1
19,Company 19,5,1,3,Segment 4
20,Company 20,4,1,1,Segment 5
21,Company 21,0,0,0,No Segment
22,Company 22,0,0,0,No Segment
23,Company 23,0,0,0,No Segment
24,Company 24,0,0,0,No Segment
